"dataset_ID","format_priority","format_flag","metadata_link","LatLong_sites","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_nSites","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Notes_timeFormat","subannualTgrain","Formatted_Mean_Mean_Individuals_perSiteYear"
33,NA,"1","FILL","N","1868","18","168","lat_long","N","1","Only one site in this dataset. No changes can be made. No lat-long data. Gives info about the sampling.","all species good, no changes made","125186349.6","16469261","180738244","count","Data represents abundance counts. no changes or removals necessary. Varied count numbers for the same species may suggest that there are several different samples analyzed at the one site accounted for in this dataset","1868","1","168","125186349.6","16469261","180738244","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
39,NA,"1","FILL","N","321","15","29","time_transect",NA,"1","no site information available here.  All sites are listed as time_transect.  May need to get data again or re-check source.","all species good, none removed from data",NA,NA,NA,"FILL","Data represents abundance counts. no changes or removals necessary","321","1","29",NA,NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","FILL"
41,NA,"1","FILL","N","418","0","56","censusbreedingbirds_Neotoma",NA,"1","no site information available here.  All sites are listed as censusbreedingbirds_Neotoma.  May need to get data again or re-check source.","all species good, none removed from data","115.1","95","145","count","Data represents abundance counts. no changes or removals necessary","418","1","56","115.1","95","145","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
46,NA,"0","FILL","FILL","528","47","29","FILL","FILL","1","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
47,NA,"1","FILL","N","392","26","13","region_year","N","2","site data included two sites followed by year: Redvers_year and Lousana_year.  Used substring to remove the year from the site leaving just the site in the data.","all species good, none removed from data","299.9714286","59","576","count","Data represents abundance counts. no changes or removals necessary","392","2","13","299.9714286","59","576","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
67,NA,"1","FILL","Y","8602","24","68","lat_long","N","423","sites were listed as South_Africa_lat_long, so I used substring to remove the South Africa text, leaving only lat_long data. No changes or removals were made to the actual data.","no changes made","FILL","FILL","FILL","count","Data represents abundance. no changes or removals necessary","8602","423","68","FILL","FILL","FILL","temporal data provided yearly. only change made was to a numeric object.","N","FILL"
69,NA,"0","FILL","FILL","2946","10","26","FILL","FILL","1434","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
70,NA,"1","FILL","N","303","14","25","site","N","1","data includes only one site: Belgium. No changes made","all species good, none removed from data","25364.78571","218","77630","count","Data represents abundance counts. no changes or removals necessary","303","1","25","25364.78571","218","77630","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
71,NA,"1","FILL","N","13995","10","386","region_site_sitenumber_","N","2797","Sites have a lot of unnecessary information including species names, catch methods, etc. No changes made to site data, need to find way to remove some unwanted info from sites","only one removal of the THALASSIOSIRA_ANTARCTICA_BOREALIS species because of a typo in one individual. All other species good.","6744042.607","1.28","472500000","count","Data represents abundance count. There were no NAs nor 0s that required removal.  Count data is not in whole numbers, must be concentrations or densities per a certain volume of seawater","13994","2797","385","6744042.607","1.28","472500000","temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","FILL"
72,NA,"1","FILL","N","12471","5","108","sites coded","N","7490","Sites have a lot of  information including net mesh size, some species or catch information, and several number combinations. No lat_longs. No changes made to site data, need to find metdata for info on site coding","no bad spp to remove, nothing changed in species field.","253.1720995","0.1","19500","count","Data represents abundance count. There were no NAs nor 0s that required removal.  Count data is not in whole numbers, must be concentrations or densities per a certain volume of seawater","12471","7490","108","253.1720995","0.1","19500","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
76,NA,"1","FILL","FILL","1347","5","212","FILL","FILL","25","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
78,NA,"1","FILL","FILL","3085","25","212","FILL","FILL","19","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
84,NA,"1","FILL","N","3631","11","106","region_location_lat_long","N","117","Sites are written as region, location of site/siteinfo and lat_longs.  No sites removed and no changes made to data.","no bad spp to remove, nothing changed in species field.","212.4774194","1","1591","count","Data represents count of abundance. There were no NAs nor 0s that required removal","3631","117","106","212.4774194","1","1591","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
85,NA,"1","FILL","Y","8635","12","356","Netherlands_sitenumber_sitenumber","N","331","Sites were all written as Netherlands_sitenumber_sitenumber.  Used substring to cut out Netherlands, leaving only site numbers in the data.  No sites removed.","there were two unique species listed twice because of extra underscores at the end of their names in the dataset.  To fix this, all underscores were removed and replaced with spaces, and then all extra white space at end of names was removed","972.8620296","2.9","19540","count","Data represents count of abundance. Data not in whole numbers.  There were no NAs nor 0s that required removal","8633","331","354","972.8620296","2.9","19540","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
86,NA,"1","FILL","N","9706","0","379","Region_sitenumber",NA,"1420","Sites are all at one station called Black Sea Station but there are different numbers that may indicate site numbers.  Could not find information on this data. No changes made to site data.","No bad species found.  No changes made to field.","2280.687056","1.15","153380","count","Data represents abundance counts. Some non-whole numbers, so could represent plankton density. no changes or removals necessary","9706","1420","379","2280.687056","1.15","153380","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
87,NA,"0","FILL","Y","897","0","106","Region_lat_long","N","2","Only two different sites in this dataset.  Lat_longs were extracted from the strings using substringbecause it was the only useful data.","No bad species found.  No changes made to field.","2951.46666666667","1843","4587","count","Data represents abundance counts. Some non-whole numbers, so could represent plankton density. no changes or removals necessary","897","2","106","2951.46666666667","1843","4587","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
90,NA,"1","FILL","Y","9059","0","0","region_sitenumber_lat_long","N","512","Sites were all written as Atlantic_Bay_of_Biscay_sitenumber_lat_long. Only lat long data is relevant, but not extracted out because varied number of characters used in data. No sites removed and no changes to data.","No bad species found.  No changes made to field","17.69335938","8","30","count","Data represents count of abundance. All counts are 1s. Study must have collected species one at a time and recorded site per species.  Counts would likely be more effective data if site lat_longs were made slightly larger grain size. No changes to this field were made","9059","512","66","17.69335938","8","30","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
91,"0","0","FILL","FILL","6262","8","68","FILL","FILL","2329","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
92,NA,"1","FILL","Y","7301","23","526","region_sitenumber_lat_long","N","332","site fields listed as Russia_WhiteSea_sitenumber_lat_long. Lat-longs are only needed data, so used substring to take out the lat_longs.  Some data still includes site number because varying number of characters in each string.","no bad species in dataset.  Only change made was to all uppercase letters.","23.82085561","1","155","count","Data represents count of abundance.  There were no NAs nor 0s that required removal","7067","332","526","23.82085561","1","155","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
97,NA,"1","FILL","N","14945","22","419","region_station_sitenumber_samplingmethods_lat_long","N","835","site data includes varying amounts of information. Region, station, site number, catch method, and lat_longs are included in most sites. No changes made","A few bad species found because of extra underscore in name.  Removed all underscores and then removed all extra white space to fix this error.",NA,NA,NA,"density?","count data is not whole numbers, so must be plankton count per volume of water.  No zeros or NAs removed","14940","835","402",NA,NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","FILL"
99,"0","0","FILL","FILL","43933","10","1079","FILL","FILL","2967","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
108,NA,"0","FILL","FILL","28137","29","126","FILL","FILL","791","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
110,"0","0","FILL","FILL","39721","38","2319","FILL","FILL","1239","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
112,"0","0","FILL","FILL","5180","14","17","FILL","FILL","1784","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
113,"1","0","FILL","FILL","89922","25","2112","FILL","FILL","2324","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
117,NA,"0","FILL","FILL","1514","44","156","FILL","FILL","115","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
119,"0","0","FILL","FILL","140752","41","14019","FILL","FILL","14019","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
120,NA,"1","FILL","N","10198","7","258","region_site_sitenumber_lat_long","N","466","No sites removed, but used subtring to remove text REGION which was present on all data points.  Had hard time searching for metadata, and what I call site number may not be an actual site number since there are some as egative values","No species removed, no changes","36.11027837","1","121","count","Data represents abundance count. There were no NAs nor 0s that required removal","10198","466","258","36.11027837","1","121","temporal data given yearly. Only change made was to numeric","N","FILL"
123,"0","0","FILL","FILL","37723","10","147","FILL","FILL","1750","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
124,NA,"1","FILL","Y","21459","7","654","lat_long or site number and lat_long","N","761","site fields were cut down using substring to delete the redundant site name USA_Massachusetts which was present in every site. Remaining are the sites as just lat_longs and also sites with rth_America_Atlantic followed by possibly a site number, then a lat_long","several species were removed because they were repeated in the dataset due to a symbol and extra space; treated as a typo. typos were removed from the dataset individually, first by the space then by the symbol. started with 654 uniques, now have 619.","FILL","FILL","FILL","count","Data represents abundance. There were no NAs nor 0s that required removal","21459","761","619","FILL","FILL","FILL","temporal data provided in yearly grain. no changes made other than to date object","N","FILL"
125,"0","0","FILL","FILL","10546","12","101","FILL","FILL","1205","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
126,"0","0","FILL","FILL","7478","8","437","FILL","FILL","467","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
127,NA,"1","FILL","FILL","2374","10","48","FILL","FILL","352","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
128,NA,"1","FILL","N","9351","5","342","Ocean_sitenumber","N","219","No changes made.  sites are listed as USA_Atlantic_sitenumber.  site numbers go by intervals of 0.5, no metadata found to determine what these numbers represent.","no bad species needed to be removed.  No changes to this field.","20.23655914","2","100","count","Data represents abundance count. There were no NAs nor 0s that required removal","9351","219","342","20.23655914","2","100","temporal data provided as years. only modification to this field involved converting to a numeric object.","N","FILL"
129,NA,"1","FILL","N","48892","5","2573","USA_GulfOfMexico_sitenumber_lat_long","N","488","all sites are in GOM, so removed that information from each site using substring.  Sites not have sitenumberand lat_long.  No sites were removed were made to the field.","only change made to species was to upper case.  No bad species removed","1731.620321","1","28676","count","Data represents abundance counts. There were no NAs nor 0s that required removal","48892","488","2573","1731.620321","1","28676","FILL","N","FILL"
133,NA,"1","FILL","FILL","1453","8","119","FILL","FILL","38","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
135,"0","0","FILL","FILL","7353","15","281","FILL","FILL","1551","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
143,NA,"1","FILL","FILL","410","8","106","FILL","FILL","4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
147,NA,"1","FILL","N","6291","51","599","sitename_sitenumber_lat_long","N","555","sites were all kept, but the name Pacific was removed from all sites so that sites are listed by number_lat_long","only change made was to uppercase all species.  no removals or other changes","FILL","FILL","FILL","count","data represents species abundance at sites.  No changes were made","6291","555","599","FILL","FILL","FILL","temporal data provided as years. only modification to this field involved converting to a numeric object.","N","FILL"
148,"0","0","FILL","FILL","25020","40","278","FILL","FILL","5179","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
150,NA,"1","FILL","FILL","402","5","44","FILL","FILL","81","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
152,NA,"1","FILL","FILL","764","15","164","FILL","FILL","41","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
162,"1","0","FILL","FILL","172767","13","5832","FILL","FILL","6588","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
163,"1","0","FILL","FILL","318466","12","357","FILL","FILL","1827","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
164,NA,"1","FILL","FILL","1401","6","100","FILL","FILL","229","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
166,"0","0","FILL","FILL","153814","25","215","FILL","FILL","51670","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
169,"0","0","FILL","FILL","61714","20","185","FILL","FILL","27979","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
171,NA,"1","FILL","FILL","2087","17","28","FILL","FILL","2035","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
172,"0","0","FILL","FILL","51197","12","47","FILL","FILL","34883","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
173,"1","0","FILL","N","4086","16","678","site","N","758","no changes were made to raw data. sites are listed by name, and some have different number IDs.","no changes made to species column.  Wide variety of taxonomic resolution, but there are no unidentified or bad species in data.","FILL","FILL","FILL","count","Data represents count, written originally as abundance. There were no NAs nor 0s that required removal","FILL","FILL","FILL","FILL","FILL","FILL","temporal data provided as year of sample. The only modification to this field involved converting to a date object.","N","FILL"
176,"1","0","FILL","FILL","40956","13","320","FILL","FILL","1763","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
178,"1","0","FILL","FILL","128307","39","476","FILL","FILL","8065","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
180,"1","0","FILL","FILL","410743","26","273","FILL","FILL","46466","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
182,"0","0","FILL","FILL","35005","22","33","FILL","FILL","5777","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
183,"1","0","FILL","FILL","14906","13","16","FILL","FILL","4475","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
184,"1","0","FILL","FILL","16976","5","306","FILL","FILL","685","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
187,"0","0","FILL","FILL","111347","14","4439","FILL","FILL","2180","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
189,"0","0","FILL","FILL","28113","10","254","FILL","FILL","1510","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
190,"0","0","FILL","FILL","27882","10","247","FILL","FILL","2000","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
191,NA,"1","FILL","Y","74085","0","0","region_catchmethod_sitenumber_lat_long","N","1924","sites were listed as North Atlantic regions and site numbers with other unknown information.  Region names were removed to simplify site data, but still plenty of unwanted info in the data.  Lat_long data is included at the end of each data string.","no bad species, no changes made besides upper casing","1826.840859","1","185920","count","Data represents count of abundance.There were no NAs nor 0s that required removal","73615","1924","1791","1826.840859","1","185920","data provided as years. only modification to this field was converting to numeric object.","N","FILL"
196,"0","0","FILL","FILL","91491","35","252","FILL","FILL","910","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
197,"0","0","FILL","FILL","279726","28","152","FILL","FILL","278169","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
198,"0","0","FILL","FILL","750984","23","143","FILL","FILL","705879","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
200,"1","1","FILL","FILL","43801","28","1617","FILL","FILL","117","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
208,NA,"1","FILL","FILL","31432","765","21","FILL","FILL","30","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
210,"2","1","FILL","FILL","40792","30","245","FILL","FILL","207","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
213,"1","0","FILL","FILL","149982","40","150","FILL","FILL","9","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
223,NA,"1","http://sev.lternet.edu/data/sev-97","N","71949","136","207","site_block_treatment_plot_quad","Y","878","site fields concatenated. metadata suggests site-block-plot-quad describes the order of nested sites from small to large. The treatment field was not included because it does not represent a spatial unit within the blocks.","several species removed. Metadata was relatively uninformative regarding what constitutes a true species sample for this study. Exploration of metadata from associated Sevilleta studies were more informative regarding which species needed to be removed. Species names are predominantly provided as Kartez codes, but not always. See: http://sev.lternet.edu/data/sev-212/5048. Some codes were identified with this pdf from White Sands: https://nhnm.unm.edu/sites/default/files/nonsensitive/publications/nhnm/U00MUL02NMUS.pdf",NA,NA,NA,"cover","Data represents cover. Several NAs and some zeros were removed from original data.","55280","871","125",NA,NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y",NA
225,"2","0","FILL","FILL","44508","12","320","FILL","FILL","20","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
226,NA,"1","FILL","FILL","954","30","45","FILL","FILL","1","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
228,NA,"1","FILL","FILL","1471","42","35","FILL","FILL","4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
