sample_date,treatment,replicate,station,depth,cores,sample_divided,surface_area_examined_sq_cm,ridge_or_furrow,species,number_of_seeds,volume_examined_cu_cm
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Potentilla sp.,1,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Poa pratensis L.,2,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Aster pilosus Willd.,3,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Carex sp.,1,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,3,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,6,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Daucus carota L.,2,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Chenopodium album L.,6,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,1,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Abutilon theophrasti Medikus,1,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Veronica sp.,1,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Unknown grass,2,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Solidago canadensis L.,3,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Potentilla norvegica L.,11,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Poa pratensis L.,2,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,2,141.75
2002-05-20,T7,R3,S3,0-5 cm,20,t,28.35,,Hieracium sp. (*),2,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Aster pilosus Willd.,4,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Achillea millefolium L.,1,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Veronica peregrina L.,1,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,4,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Potentilla norvegica L.,1,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,23,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,3,141.75
2002-05-20,T7,R3,S4,0-5 cm,20,t,28.35,,Carex sp.,2,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,4,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Veronica peregrina L.,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,unknown Asteraceae,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Trifolium repens L.,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Trifolium campestre Schreb.,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,2,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Solidago canadensis L.,5,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Potentilla norvegica L.,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Populus deltoides,1,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,5,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Daucus carota L.,4,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Chenopodium album L.,2,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,2,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Aster pilosus Willd.,5,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Arabis glabra (L.) Bernh.,2,141.75
2002-05-20,T7,R3,S5,0-5 cm,20,t,28.35,,Abutilon theophrasti Medikus,1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Veronica peregrina L.,2,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,5,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Poa sp. (*),1,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Potentilla norvegica L.,9,141.75
2002-05-20,T7,R4,S1,0-5 cm,20,t,28.35,,Veronica sp.,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Veronica sp.,2,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Veronica peregrina L.,2,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Potentilla recta L.,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Potentilla norvegica L.,2,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,42,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Hypericum perforatum L.,3,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,9,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Daucus carota L.,3,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,4,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Aster pilosus Willd.,11,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Arabidopsis thaliana (L.) Heynh.,1,141.75
2002-05-20,T7,R4,S2,0-5 cm,20,t,28.35,,Verbascum thapsus L.,1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Veronica peregrina L.,2,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Solidago canadensis L.,12,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Poa pratensis L.,5,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Poa compressa L.,1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Hypericum perforatum L.,3,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,2,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Daucus carota L.,1,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Chenopodium album L.,3,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,4,141.75
2002-05-20,T7,R4,S3,0-5 cm,20,t,28.35,,Aster pilosus Willd.,13,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Arabis glabra (L.) Bernh.,2,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,8,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Hieracium sp. (*),1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Hypericum perforatum L.,1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Silene alba (Mill.) E.H.L.Krause,4,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Poa pratensis L.,7,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Potentilla norvegica L.,4,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Potentilla recta L.,1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Solidago canadensis L.,3,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Euthamia graminifolia (L.) Nutt.,1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Veronica peregrina L.,6,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Veronica sp.,2,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Verbascum thapsus L.,1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Aster pilosus Willd.,4,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Carex sp.,3,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R4,S4,0-5 cm,20,t,28.35,,Daucus carota L.,1,141.75
