"dataset_ID","format_flag","dataset_name","data_source","system","climate","taxa","organism","location","CentralLatitude","CentralLongitude","LatLong_sites","Raw_datafile_name","Raw_start_year","Raw_end_year","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_spatial_grain","Raw_spatial_grain_unit","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_start_year","Formatted_end_year","Formatted_nSites","Formatted_nTime","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Formatted_spatial_grain","Formatted_spatial_grain_unit","Notes_timeFormat","subannualTgrain","PropOcc_notes","General_notes","Citation1","Citation2","Citation3","Citation4","Citation5","Citation6"
72,0,"","http://wsbs-msu.ru/res/DictionaryAttachment/395/DOC_FILENAME/Pertsova_Kosobokova_Zooplankton%20of%20the%20White%20Sea_2003.pdf","Marine","Polar/Temperate","Plankton","Zooplankton","",65.633301,36.225,"N",NA,NA,NA,12471,5,108,"sites coded","N",7490,"Sites have a lot of  information including net mesh size, some species or catch information, and several number combinations. No lat_longs. No changes made to site data, need to find metdata for info on site coding","no bad spp to remove, nothing changed in species field.",NA,NA,253.1720995,0.1,19500,"count","Data represents abundance count. There were no NAs nor 0s that required removal.  Count data is not in whole numbers, must be concentrations or densities per a certain volume of seawater",12471,NA,NA,7490,NA,"108","253.1720995",0.1,"19500",NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","Only 5 years of data present across the dataset -- proportional occurrence frame was not made.","spatial extent is in square kilometers","K. Kosobokova, ""White Sea Zooplankton"".  Shirshov Institute of Oceanology, Moscow; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. (Available at http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012).",NA,NA,NA,NA,NA
76,0,"","http://idn.ceos.org/portals/Metadata.do?Portal=idn_ceos&KeywordPath=%5BFreetext%3D%27USGS%27%5D%7CRefine+By+Parameters%7CAGRICULTURE%7CFOOD+SCIENCE&EntryId=Eurobis_505&MetadataView=Text&MetadataType=0&lbnode=mdlb5","Marine","Temperate","Benthos","Benthos animals","",54.014999,0.9050002,"",NA,NA,NA,1347,5,212,"","",25,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","H. Rees, M. Pendle, R. Waldock, D. Limpenny, S. Boyd, A comparison of Benthos biodiversity in the North Sea, English Channel, and Celtic Seas. ICES Journal of Marine Science: Journal du Conseil 56, 228 (1999).","H. Rees, M. Pendle, R. Waldock, D. Limpenny, S. Boyd, ""A comparison of Benthos biodiversity in the North Sea, English Channel and Celtic Seas - Epifauna"". Centre for Environment, Fisheries and Aquaculture Science; Burnham Laboratory, UK. (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=505, accessed 2012).",NA,NA,NA,NA
78,0,"","http://www.vliz.be/en/imis?module=dataset&dasid=601","Marine","Temperate","Benthos","Macro-zoobenthos","",56.974998,18.33,"",NA,NA,NA,3085,25,212,"","",19,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","M. L. Zettler, ""Macrozoobenthos baltic sea (1980-2005) as part of the IOW-Monitoring"". Institut f?r Ostseeforschung Warnem?nde, Germany (2005). ""IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS)"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
84,0,"","http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2690","Marine","Temperate","Plant","Macroalgae","",44.957899,33.8528,"Y",NA,NA,NA,3631,11,106,"region_location_lat_long","Y",117,"Sites are written as region, location of site/siteinfo and lat_longs.  No sites removed and no changes made to data.","no bad spp to remove, nothing changed in species field.",NA,NA,212.4774194,1,1591,"count","Data represents count of abundance. There were no NAs nor 0s that required removal",3631,NA,NA,117,NA,"106","212.4774194",1,"1591",NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","","spatial extent is in square kilometers","N. A. Milchakova, V. G. Ryabogina, E. B. Chernyshova, ""Macroalgae of the Crimean coastal zone (the Black Sea, 1967-2007)"". Sevastopol, IBSS (2011). (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2690, accessed 2012).",NA,NA,NA,NA,NA
85,1,"North Sea invertebrates","OBIS Resource ID 251, http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=1037","Marine","Temperate","Benthos","Macrobenthos","",53.5443,4.627365,"Y",NA,NA,NA,8635,12,356,"Latitude_Longitude","Y",331,"site fields were just lat long, and they were concatenated.","species entries frequently listed a paper after the species e.g. Golfingia elongata (Keferstein, 1862). The first two words were extracted from each of these to list only the scientific name.  several genus-only entries were removed because there were moany species specific entries benath that genus. Several species specific entries were consolidated into the genus-only entry of that genus if there was only one possible species.",NA,NA,972.8620296,2.9,19540,"count","Data represents count. No 0s or NAs removed",8633,NA,NA,331,NA,"354","972.8620296",2.9,"19540",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","","W. Addinck, M. de Kluijver, ""North Sea observations of Crustacea, Polychaeta, Echinodermata, Mollusca and some other groups between 1986 and 2003"". Expert Centre for Taxonomic Idenditification (ETI), the Netherlands (2003). (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1037, accessed 2012). ",NA,NA,NA,NA,NA
86,0,"","www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2694","Marine","Temperate","Plankton","Phytoplankton","",44.5,35.40835,"N",NA,NA,NA,9706,9,379,"Region_sitenumber","N",1420,"Sites are all at one station called Black Sea Station but there are different numbers that may indicate site numbers.  Could not find information on this data. No changes made to site data.","No bad species found.  No changes made to field.",NA,NA,2280.687056,1.15,153380,"count","Data represents abundance counts. Some non-whole numbers, so could represent plankton density. no changes or removals necessary",9706,NA,NA,1420,NA,"379","2280.687056",1.15,"153380",NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","","spatial extent is in square kilometers","N. Derezuyk, ""Phytoplankton of the Ukrainian Black Sea shelf (1985-2005)"". (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2694, accessed 2012).",NA,NA,NA,NA,NA
87,1,"Phytoplankton in the Oosterschelde before, during and after the storm-surge barrier (1982-1990)","OBIS Resource ID 505, http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1646","Marine","Temperate","Plankton","Phytoplankton","",51.54925,3.91205,"Y",NA,NA,NA,897,9,106,"lat_long","Y",2,"Only two different sites in this dataset.  Lat_longs were extracted from the strings using substring because it was the only useful data.","no species removed",NA,NA,2951.466667,1843,4587,"count","Data represents count. There were no NAs nor 0s that required removal",897,NA,NA,2,NA,"106","2951.466667",1843,"4587",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","dataset possibly unsuitable bc time series spans major disturbance/habitat reconfiguration","C. Bakker, P. Herman, M. Vink, A New Trend in the Development of the Phytoplankton in the Oosterschelde (SW Netherlands) during and after the Construction of a Storm-Surge Barrier.  Hydrobiologia 283, 1 (1994).","K. Bakker, P. Herman, ""Phytoplankton in the Oosterschelde before, during and after the storm-surge barrier (1982-1990)"". Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. EurOBIS Data (1990). (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1646, accessed 2013).  ",NA,NA,NA,NA
90,1,"Zooplankton in the Bay of Biscay","OBIS Resource ID 3046, http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2774","Marine","Temperate","Plankton","Zooplankton","",44.724501,-2.7983999,"Y",NA,NA,NA,9059,0,0,"lat_long","Y",512,"site field heavily modified. site entries were originally entered as Atlantic_Bay_of_Biscay_sitenumber_lat_long. All info except lat_long was removed. ","no species removed.",NA,NA,17.69335938,8,30,"count","Data represents count. There were no NAs nor 0s that required removal",9059,NA,NA,512,NA,"66","17.69335938",8,"30",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","","""Zooplankton in the Bay of Biscay (1995-2004, yearly DEPM surveys)"". (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2774,  accessed 2012).",NA,NA,NA,NA,NA
91,1,"Baltic seabirds transect surveys","OBIS Resource ID 2260, http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=1971","Marine","Temperate","Bird","Birds","",56.855001,21.025001,"Y",NA,NA,NA,6262,0,68,"lat_long","Y",2329,"info in site entries reduced from ""BalticSea_RigaGulf_lat_long"" to just ""lat_long"" ","There were many instances where a genus would have some entries identified to the species and some not. The Larus entries were removed because there were so few of them compared to entries identified to the species. All entries of the genus Anas, Cygnus, and Gavia were renamed to genus-only entries because there were many entries that were not identified to the species",NA,NA,133.3288906,1,14150,"count","Data represents count. There were no NAs nor 0s that required removal",6262,NA,NA,2329,NA,"68","133.3288906",1,"14150",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","","""Baltic Seabirds Transect Surveys"", Institute of Ecology of Vilnius University - OBIS-SEAMAP. (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1971, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA,NA,NA,NA
92,1,"Benthos of the White Sea","OBIS Resource ID 2307, http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2769","Marine","Polar/Temperate","Benthos","Macrobenthos","White Sea",38.055,65.614998,"Y",NA,NA,NA,6956,23,526,"lat_long","Y",290,"site entries originally looked like Russia_WhiteSea_98_33.97_66.41, but they were cut down to just include lat/longs","No species removed. No chnages made to species column",NA,NA,26.86005831,1,155,"count","Data represents count. There were no NAs nor 0s that required removal",6956,NA,NA,290,NA,"526","26.86005831",1,"155",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","abundance data suspect, raw data source unknown","A. Naumov, ""Benthos of the White Sea. A database"". White Sea Biological Station, Zoological Institute RAS. (Available at http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2769, accessed 2012).",NA,NA,NA,NA,NA
97,3,"Archives of the Arctic Seas Zooplankton","OBIS Resource ID 2282","Marine","Polar/Temperate","Plankton","Zooplankton","",69.974998,0.0166473,"Y",NA,NA,NA,14945,22,419,"lat_long","Y",835,"only useful information was lat/long values. removed other unneccessary informaton","several species removed. There were many instances where some entries were identified down to the species while others were not, leaving possible overlap. If there is one species under the genus-only entry, it is combined with the genus only entry, but if there is more than one species entry under a genus-only entry, the genus only entries are deleted. ",NA,NA,NA,NA,NA,"density","Data represents density. There were no NAs or 0s were present",14940,NA,NA,835,NA,"402",NA,NA,NA,NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","raw data source unknown, our datafile has fewer records than available on OBIS","E. L. Markhaseva, A. A. Golikov, T. A. Agapova, A. A. Beig, ""Archives of the Arctic Seas Zooplankton 1"" (1985).  (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
99,1,"CSIRO Marine Data Warehouse (""csiro_warehouse"")","OBIS Resource ID 3561, http://gcmd.nasa.gov/records/GCMD_cmar_wh.html","Marine","Tropical/Temperate","Fish","Fish","",-26.212501,134.525,"N",NA,NA,NA,43933,0,1079,"stationnumber","N",2967,"site field had lots of unusable data (like the name of the ship used) separated by underscores. Only the station number was extracted.","no bad species or typos to correct.",NA,NA,1474.916414,1,665863,"count","Data represents count. There were no NAs nor 0s that required removal",43933,NA,NA,2967,NA,"1079","1474.916414",1,"665863",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","see Github issue, raw data source unknown","""CSIRO Marine Data Warehouse - OBIS Australia"", CSIRO Division of Marine and Atmospheric Research (CMAR), Australia. (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
108,0,"","http://www.vliz.be/en/imis?module=dataset&dasid=4000","Marine","Global","Bird","Birds","",-15.715,-0.590004,"",NA,NA,NA,28137,29,126,"","",791,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","E. Woehler, ""Seabirds of the Southern and South Indian Ocean - Australian Antarctic Data Centre"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
110,0,"","http://www.emodnet-biology.eu/data-catalog?%3Fmodule=dataset&dasid=621","Marine","Temperate","Benthos","Benthos","",55.336491,-3.2542415,"",NA,NA,NA,39721,38,2319,"","",1239,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","R. Ostler, ""Marine Nature Conservation Review (MNCR) and associated Benthos marine data held and managed by JNCC - EurOBIS"". Joint Nature Conservation Committee, Centre for Ecology and hydrology, Aberdeenshire, UK. (Available at http://www.emodnet-biology.eu/data-catalog/??module=dataset&dasid=621, accessed 2012).",NA,NA,NA,NA,NA
112,0,"","http://www.vliz.be/en/imis?module=dataset&dasid=3400","Marine","Tropical/Temperate","Fish","Pelagic fish","",26.264999,-54.260002,"",NA,NA,NA,5180,14,17,"","",1784,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","""Southeast Fisheries Science Center, National Oceanic and Atmospheric Administration. NOAA Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
113,0,"","https://knb.ecoinformatics.org/#view/doi:10.5063/AA/CHL.7.1","Marine","Global","Invertebrate","Invertebrate and some fish","",-4.1129227,-22.458727,"",NA,NA,NA,89922,25,2112,"","",2324,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","P. Pugh, ""Discovery Collections Midwater Database"". National Oceanography Centre, Southampton, UK (2000). (Available at http://noc.ac.uk/data/discovery-collections/, accessed 2012).",NA,NA,NA,NA,NA
117,0,"","http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS_NZMBIS","Marine","Temperate","Benthos","Starfish","",-40.114999,0.0049438,"",NA,NA,NA,1514,44,156,"","",115,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","""South Western Pacific Regional OBIS Data Asteroid Subset"", NIWA (National Institute of Water and Atmospheric Research - New Zealand) MBIS (Marine Biodata Information System) accessed through South Western Pacific OBIS. (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
119,0,"","http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS.DFOgfsDBfish","Marine","Temperate","Fish","Fish","",43.952541,-63.223873,"",NA,NA,NA,140752,41,14019,"","",14019,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","D. Clark, B. Branton, ""DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections"". Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada (2007). (Available at http://www.iobis.org, accessed 2012 ).",NA,NA,NA,NA,NA
120,5,"","http://www.vliz.be/en/imis?module=dataset&dasid=3815","Marine","Tropical/Temperate","Plant","Tropical algae","",6.9471664,-5.8605347,"Y",NA,NA,NA,10170,7,229,"region_site_lat_long","Y",466,"site field had some unneccessary info (like depth) spearated out by underscores. after editing the site entries, the result was region_site_lat_long.","there were many instances where there were genus-only entries with other entries of that genus that go to the species level. They were removed or renamed according to the script.",NA,NA,NA,NA,NA,"cover","Data represents count. There were no NAs nor 0s that required removal",10170,NA,NA,466,NA,"229",NA,NA,NA,NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","spatial extent is in square kilometers","""CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008"". Coral Reef Ecosystem Division (CRED), Pacific Island Fisheries Sciences Center, National Marine Fisheries Service (2011). (Available at http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012).",NA,NA,NA,NA,NA
123,0,"","http://www.vliz.be/en/imis?module=dataset&dasid=3829","Marine","Temperate","Fish","Fish and Invertebrate","",43.814001,-68.864651,"",NA,NA,NA,37723,10,147,"","",1750,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","S. Sherman, ""Maine Department of Marine Resources Inshore Trawl Survey, 2000 ? 2009"". Maine Department of Marine Resources, Maine (2010). (Available at http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012).",NA,NA,NA,NA,NA
124,1,"A Biological Survey of the Waters of Woods Hole and Vicinity","OBIS Resource ID 230, http://www.vliz.be/en/imis?module=dataset&dasid=3436","Marine","Temperate","Benthos","Invertebrate and Plant","",41.504999,-70.555,"Y",NA,NA,NA,18967,7,588,"Latitude_Longitude","Y",323,"The only useful info in site entries was the lat/longs, so those were extracted. No other changes were made.","there were many repeated species entries with the character ""�"" at the end. These were removed. Some entries that were genus-only but only had one assosciated species-only entry were consolidated into the genus-only enty. There were also a few instances where the genus-only entry needed to be deleted because there was more than one species under the genus.",NA,NA,38.84169884,1,203,"count","Data represents count. There were no NAs nor 0s that required removal",18967,NA,NA,323,NA,"588","38.84169884",1,"203",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","extensive sampling only in 1903-1905, not suitable for our purposes","F. B. Sumner, R. C. Osborn, L. J. Cole, B. M. Davis. A biological survey of the waters of Woods Hole and vicinity. Bulletin of the U.S. Bureau of Fisheries. 31, 1 (1911).","F. B. Sumner, R. C. Osborn, L. J. Cole, B. M. Davis. ""A biological survey of the waters of Woods Hole and vicinity"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA
125,0,"","http://www.usgs.gov/obis-usa/search/?datasetid=MARMAP_ChevronSurvey#","Marine","Temperate","Fish","Fish","",30.940001,-78.5,"",NA,NA,NA,10546,12,101,"","",1205,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","M. Reichert, ""MARMAP Chevron Trap Survey 1990-2009"". SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate Data Surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources U.S.A. (2009). (Available at http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012).",NA,NA,NA,NA,NA
